id,num_drivers,created_at,updated_at,driver_eta
10460,1,2017-11-01 12:45:27.740803,2017-11-01 12:45:27.740803,2
10461,1,2017-11-01 12:47:27.865027,2017-11-01 12:47:27.865027,3
10462,1,2017-11-01 12:48:27.947768,2017-11-01 12:48:27.947768,4
10463,1,2017-11-01 12:49:27.945779,2017-11-01 12:49:27.945779,5
10464,1,2017-11-01 12:49:47.738911,2017-11-01 12:49:47.738911,6
10465,1,2017-11-01 12:50:27.681515,2017-11-01 12:50:27.681515,7
10466,1,2017-11-01 12:51:07.900067,2017-11-01 12:51:07.900067,6
10467,1,2017-11-01 12:51:27.741021,2017-11-01 12:51:27.741021,7
10468,2,2017-11-01 12:52:27.790891,2017-11-01 12:52:27.790891,3
10469,3,2017-11-01 12:53:07.756265,2017-11-01 12:53:07.756265,3
10470,3,2017-11-01 13:01:47.80452,2017-11-01 13:01:47.80452,4
10471,3,2017-11-01 13:02:47.834215,2017-11-01 13:02:47.834215,3
10472,2,2017-11-01 13:03:07.675604,2017-11-01 13:03:07.675604,4
10473,1,2017-11-01 13:10:07.751647,2017-11-01 13:10:07.751647,8
10474,1,2017-11-01 13:17:27.771474,2017-11-01 13:17:27.771474,7
10475,1,2017-11-01 13:19:07.787101,2017-11-01 13:19:07.787101,8
10476,1,2017-11-01 13:19:47.747707,2017-11-01 13:19:47.747707,7
10477,1,2017-11-01 13:20:27.658719,2017-11-01 13:20:27.658719,6
10478,0,2017-11-01 13:20:47.828092,2017-11-01 13:20:47.828092,1000
10479,1,2017-11-01 13:21:07.94457,2017-11-01 13:21:07.94457,5
10480,1,2017-11-01 13:21:48.078195,2017-11-01 13:21:48.078195,4
10481,1,2017-11-01 13:23:07.736333,2017-11-01 13:23:07.736333,3
10482,1,2017-11-01 13:25:08.000262,2017-11-01 13:25:08.000262,2
10483,1,2017-11-01 13:27:27.860252,2017-11-01 13:27:27.860252,3
10484,1,2017-11-01 13:28:47.748745,2017-11-01 13:28:47.748745,4
10485,2,2017-11-01 13:29:07.871892,2017-11-01 13:29:07.871892,4
10486,3,2017-11-01 13:29:27.732804,2017-11-01 13:29:27.732804,2
10487,3,2017-11-01 13:30:49.065076,2017-11-01 13:30:49.065076,1
10488,3,2017-11-01 13:31:27.811738,2017-11-01 13:31:27.811738,0
10489,3,2017-11-01 13:32:07.803639,2017-11-01 13:32:07.803639,1
10490,2,2017-11-01 13:33:27.930618,2017-11-01 13:33:27.930618,3
10491,2,2017-11-01 13:34:47.903505,2017-11-01 13:34:47.903505,2
10492,1,2017-11-01 13:35:07.925448,2017-11-01 13:35:07.925448,10
10493,1,2017-11-01 13:35:27.799464,2017-11-01 13:35:27.799464,9
10494,1,2017-11-01 13:36:47.711782,2017-11-01 13:36:47.711782,8
10495,1,2017-11-01 13:37:27.877519,2017-11-01 13:37:27.877519,7
10496,1,2017-11-01 13:37:47.70633,2017-11-01 13:37:47.70633,6
10497,1,2017-11-01 13:38:27.642257,2017-11-01 13:38:27.642257,5
10498,0,2017-11-01 13:38:47.787082,2017-11-01 13:38:47.787082,1000
10499,1,2017-11-01 13:44:47.83809,2017-11-01 13:44:47.83809,4
10500,0,2017-11-01 13:45:07.723492,2017-11-01 13:45:07.723492,1000
10501,1,2017-11-01 13:49:27.821007,2017-11-01 13:49:27.821007,4
10502,1,2017-11-01 13:51:27.678801,2017-11-01 13:51:27.678801,3
10503,1,2017-11-01 13:59:47.756069,2017-11-01 13:59:47.756069,2
10504,2,2017-11-01 14:01:27.76753,2017-11-01 14:01:27.76753,2
10505,3,2017-11-01 14:03:47.706377,2017-11-01 14:03:47.706377,2
10506,3,2017-11-01 14:04:27.961103,2017-11-01 14:04:27.961103,1
10507,4,2017-11-01 14:05:47.818078,2017-11-01 14:05:47.818078,1
10508,3,2017-11-01 14:07:28.123263,2017-11-01 14:07:28.123263,1
10509,3,2017-11-01 14:07:47.924155,2017-11-01 14:07:47.924155,0
